name,description,is_active
Alice,Software Engineer,TRUE
Bob,Product Manager,FALSE
Charlie,Designer,TRUE
David,Data Analyst,TRUE
Eva,Web Developer,FALSE
Frank,UX Researcher,TRUE
Grace,Project Coordinator,FALSE
Hank,Data Scientist,TRUE
Ivy,System Administrator,TRUE
Jack,Technical Writer,FALSE
Kara,SEO Specialist,TRUE
Leo,Software Architect,FALSE
Mia,DevOps Engineer,TRUE
Nina,Product Designer,TRUE
Owen,Marketing Specialist,FALSE
Paula,Content Strategist,TRUE
Quinn,IT Support,TRUE
Ray,Network Engineer,FALSE
Sara,Quality Assurance Tester,TRUE
Tom,Database Administrator,FALSE
Uma,Cloud Consultant,TRUE
Victor,Product Owner,TRUE
Wendy,Frontend Developer,FALSE
Xander,Backend Developer,TRUE
Yara,Mobile Developer,TRUE
Zane,Game Developer,FALSE
Adam,Systems Analyst,TRUE
Bella,Software Tester,FALSE
Cody,Security Analyst,TRUE
Diana,Research Scientist,FALSE
Elena,Operations Manager,TRUE
Floyd,Marketing Manager,FALSE
Gemma,Content Creator,TRUE
Henry,Brand Strategist,FALSE
Isla,Web Designer,TRUE
Jake,Support Engineer,FALSE
Kylie,Data Engineer,TRUE
Liam,IT Manager,FALSE
Maya,Sales Executive,TRUE
Nico,HR Manager,FALSE
Olivia,Product Marketing,TRUE
Paul,Lead Developer,FALSE
Quincy,Software Developer,TRUE
Rita,Customer Success Manager,FALSE
Sam,Technical Support,TRUE
Tina,Field Technician,FALSE
Ursula,Creative Director,TRUE
Victor,Brand Manager,FALSE
Wendy,Software Consultant,TRUE
Xena,Full Stack Developer,FALSE
Yasmin,Video Producer,TRUE
Zara,Market Research Analyst,FALSE
Aaron,Data Entry Clerk,TRUE
Bianca,Technical Recruiter,FALSE
Chris,Digital Marketing Specialist,TRUE
Derek,IT Consultant,FALSE
Emma,User Experience Designer,TRUE
Felix,Web Analyst,FALSE
Gina,Software Sales,TRUE
Hugo,Cloud Engineer,FALSE
Ivy,Customer Service Representative,TRUE
Jake,Product Analyst,FALSE
Kathy,Performance Analyst,TRUE
Leon,Social Media Manager,FALSE
Monica,Training Specialist,TRUE
Nate,Operations Analyst,FALSE
Olive,Digital Content Manager,TRUE
Pete,Network Administrator,FALSE
Quinn,Application Support,TRUE
Riley,Website Content Manager,FALSE
Sophia,IT Security Consultant,TRUE
Troy,Release Manager,FALSE
Ulysses,Help Desk Technician,TRUE
Vanessa,UX/UI Designer,FALSE
Winston,IT Compliance Officer,TRUE
Xander,Video Game Tester,FALSE
Yasmine,SEO Consultant,TRUE
Zeke,Product Developer,FALSE
Anya,Data Privacy Officer,TRUE
Bradley,Web Operations Specialist,FALSE
Clara,Infrastructure Manager,TRUE
Daniel,Research Analyst,FALSE
Ella,Product Coordinator,TRUE
Felicia,Compliance Officer,FALSE
Gareth,Technical Analyst,TRUE
Hannah,Enterprise Architect,FALSE
Ian,Mobile Application Developer,TRUE
Jenna,Lead Tester,FALSE
Kyle,Content Marketing Manager,TRUE
Leah,Software Development Manager,FALSE
Mark,IT Asset Manager,TRUE
Nora,Data Quality Analyst,FALSE
Oscar,Customer Experience Lead,TRUE
Penny,Supply Chain Analyst,FALSE
Quinlan,Innovation Manager,TRUE
Rosa,Graphic Designer,FALSE
Stefan,Full Stack Engineer,TRUE
Tessa,Corporate Trainer,FALSE
Uriah,Hardware Engineer,TRUE
Violet,Research Associate,FALSE
Wade,Financial Analyst,TRUE
Xena,Digital Product Manager,FALSE
Yasmin,IT Project Manager,TRUE
Zander,Blockchain Developer,FALSE
Abigail,Service Desk Analyst,TRUE
Brian,Product Implementation Specialist,FALSE
Chloe,Customer Insights Manager,TRUE
Derek,Database Developer,FALSE
Erica,Agile Coach,TRUE
Felix,Software Configuration Manager,FALSE
Gina,Program Manager,TRUE
Holly,Network Security Specialist,FALSE
Ian,Product Quality Engineer,TRUE
Jill,Test Automation Engineer,FALSE
Kevin,Technical Account Manager,TRUE
Lydia,Video Editor,FALSE
Michael,Data Visualization Specialist,TRUE
Nina,Cloud Solutions Architect,FALSE
Olivia,Chief Technology Officer,TRUE
Paul,Sales Engineer,FALSE
Quincy,Service Delivery Manager,TRUE
Rita,Marketing Automation Specialist,FALSE
Steve,Network Operations Manager,TRUE
Tracy,Technical Project Manager,FALSE
Ursula,Application Developer,TRUE
Victor,Process Improvement Manager,FALSE
Wendy,User Researcher,TRUE
Xander,Product Support Specialist,FALSE
Yara,IT Risk Manager,TRUE
Zane,Innovation Consultant,FALSE
Amy,Customer Support Manager,TRUE
Brandon,Technical Trainer,FALSE
Catherine,Website Developer,TRUE
David,Mobile UI Designer,FALSE
Elena,Digital Strategy Manager,TRUE
Frank,Customer Operations Specialist,FALSE
Gina,Social Media Specialist,TRUE
Hank,Senior Developer,FALSE
Isabella,Data Scientist,TRUE
Jack,Product Marketing Specialist,FALSE
Kelly,Marketing Operations Manager,TRUE
Leo,Application Support Analyst,FALSE
Monica,Web Project Manager,TRUE
Nathan,IT Systems Engineer,FALSE
Olivia,Performance Marketing Manager,TRUE
Paul,User Experience Researcher,FALSE
Quinn,Creative Technologist,TRUE
Rita,Account Executive,FALSE
Samuel,Technical Architect,TRUE
Tina,Web Application Developer,FALSE
Ulysses,Customer Engagement Manager,TRUE
Vanessa,Web Services Developer,FALSE
Winston,Information Security Manager,TRUE
Xena,Program Analyst,FALSE
Yasmin,Network Consultant,TRUE
Zoe,Data Operations Manager,FALSE
Alex,Security Consultant,TRUE
Beatrice,Software Development Specialist,FALSE
Carter,Digital Content Strategist,TRUE
Daniel,Project Management Officer,FALSE
Ella,IT Vendor Manager,TRUE
Fiona,Customer Insights Analyst,FALSE
Garry,DevOps Consultant,TRUE
Holly,Marketing Communications Manager,FALSE
Ian,Cloud Security Architect,TRUE
Jennifer,Agile Product Owner,FALSE
Kyle,Data Migration Specialist,TRUE
Laura,Software Development Lifecycle Manager,FALSE
Mark,Technical Solutions Manager,TRUE
Natalie,Research and Development Specialist,FALSE
Owen,Sales Operations Analyst,TRUE
Pamela,Web Development Manager,FALSE
Quin,Product Evangelist,TRUE
Rachel,IT Program Director,FALSE
Simon,Digital Product Designer,TRUE
Tina,Business Analyst,FALSE
Uriah,Data Governance Manager,TRUE
Vera,Software Release Manager,FALSE
Wade,Digital Experience Manager,TRUE
Xena,Technical Operations Manager,FALSE
Yasmin,Web Accessibility Specialist,TRUE
Zach,Network Infrastructure Engineer,FALSE
